CodeCommune;NomCommune;Montagne;ZoneDefavoriseeSimple;ZoneHandicapSpecifique
1002;L'ABERGEMENT-DE-VAREY;M;;
1004;AMBERIEU-EN-BUGEY;;ZDS;
1006;AMBLEON;M;;
1007;AMBRONAY;;ZDS;
1009;ANDERT-ET-CONDON;;ZDS;
1010;ANGLEFORT;M;;
1011;APREMONT;M;;
1012;ARANC;M;;
1013;ARANDAS;M;;
1014;ARBENT;M;;
1015;ARBOY-EN-BUGEY;M;ZDS;
1016;ARBIGNY;;ZDS;
1017;ARGIS;M;;
1019;ARMIX;M;;
1022;ARTEMARE;;ZDS;
1023;ASNIERES-SUR-SAONE;;ZDS;
1029;BEAUPONT;;ZDS;
1031;BELLIGNAT;M;;
1033;BELLEGARDE-SUR-VALSERINE;M;;
1034;BELLEY;;ZDS;
1035;BELLEYDOUX;M;;
1036;BELMONT-LUTHEZIEU;M;;
1037;BENONCES;M;;
1039;BEON;;ZDS;
1041;BETTANT;;ZDS;
1044;BILLIAT;M;;
1050;BOISSEY;;ZDS;
1051;BOLOZON;M;;
1056;BOYEUX-SAINT-JEROME;M;;
1057;BOZ;;ZDS;
1058;BREGNIER-CORDON;;ZDS;
1059;BRENAZ;M;;
1060;BRENOD;M;;
1061;BRENS;;ZDS;
1063;BRION;M;;
1064;BRIORD;;ZDS;
1066;LA BURBANCHE;M;;
1067;CEIGNES;M;;
1068;CERDON;M;;
1073;CEYZERIEU;;ZDS;
1076;CHALEY;M;;
1077;CHALLES (-LA-MONTAGNE);M;;
1079;CHAMPAGNE-EN-VALROMEY;M;;
1080;CHAMPDOR-CORCELLES;M;;
1081;CHAMPFROMIER;M;;
1082;CHANAY;M;;
1087;CHARIX;M;;
1091;CHATILLON-EN-MICHAILLE;M;;
1094;CHAVANNES-SUR-REYSSOUZE;;ZDS;
1095;NIVIGNE-ET-SURAN;;ZDS;
1097;CHAVORNAY;M;;
1098;CHAZEY-BONS;;ZDS;
1100;CHEIGNIEU-LA-BALME;M;;
1101;CHEVILLARD;M;;
1102;CHEVROUX;;ZDS;
1104;CHEZERY-FORENS;M;;
1106;CIZE;;ZDS;
1107;CLEYZIEU;M;;
1108;COLIGNY;;ZDS;
1109;COLLONGES;M;;
1110;COLOMIEU;M;ZDS;
1111;CONAND;M;;
1112;CONDAMINE (-LA-DOYE);M;;
1114;CONFORT;M;;
1116;CONTREVOZ;M;;
1117;CONZIEU;M;;
1118;CORBONOD;M;;
1121;CORLIER;M;;
1122;CORMARANCHE-EN-BUGEY;M;;
1124;CORMOZ;;ZDS;
1125;CORVEISSIAT;;ZDS;
1127;COURMANGOUX;;ZDS;
1128;COURTES;;ZDS;
1133;CRESSIN-ROCHEFORT;;ZDS;
1135;CROZET;M;;
1138;CULOZ;;ZDS;
